 ,World Rank,Institution,Location,National_Rank,Quality_of_Education,Alumni_Employment,Quality_of_Faculty,Research_Performance,Score
0,1,Harvard University,USA,1,3.0,1.0,1.0,1.0,100.0
1,2,Massachusetts Institute of Technology,USA,2,4.0,11.0,2.0,7.0,96.7
2,3,Stanford University,USA,3,10.0,4.0,3.0,2.0,95.2
3,4,University of Cambridge,United Kingdom,1,1.0,21.0,4.0,11.0,94.1
4,5,University of Oxford,United Kingdom,2,7.0,26.0,9.0,4.0,93.3
5,6,Columbia University,USA,4,11.0,14.0,10.0,15.0,92.6
6,7,Princeton University,USA,5,6.0,15.0,7.0,71.0,92.0
7,8,University of Pennsylvania,USA,6,14.0,9.0,43.0,12.0,91.6
8,9,University of Chicago,USA,7,8.0,18.0,29.0,22.0,91.1
9,10,Yale University,USA,8,5.0,35.0,11.0,20.0,90.7
10,11,California Institute of Technology,USA,9,2.0,128.0,5.0,74.0,90.4
11,12,"University of California, Berkeley",USA,10,9.0,57.0,8.0,14.0,90.1
12,13,Cornell University,USA,11,13.0,28.0,17.0,24.0,89.8
13,14,University of Tokyo,Japan,1,37.0,7.0,105.0,27.0,89.5
14,15,Johns Hopkins University,USA,12,20.0,188.0,22.0,6.0,89.3
15,16,"University of Michigan, Ann Arbor",USA,13,32.0,37.0,82.0,5.0,89.0
16,17,Northwestern University,USA,14,139.0,17.0,46.0,29.0,88.8
17,18,"University of California, Los Angeles",USA,15,49.0,63.0,19.0,10.0,88.6
18,19,University College London,United Kingdom,3,33.0,666.0,14.0,8.0,88.4
19,20,Duke University,USA,16,61.0,51.0,16.0,21.0,88.2
20,21,PSL University,France,1,16.0,27.0,100.0,121.0,88.0
21,22,University of Illinois at Urbana–Champaign,USA,17,23.0,133.0,12.0,61.0,87.8
22,23,University of Washington - Seattle,USA,18,60.0,216.0,23.0,9.0,87.7
23,24,University of Toronto,Canada,1,225.0,159.0,21.0,3.0,87.5
24,25,New York University,USA,19,43.0,42.0,40.0,45.0,87.3
25,26,University of Wisconsin–Madison,USA,20,34.0,93.0,34.0,31.0,87.2
26,27,McGill University,Canada,2,25.0,100.0,36.0,43.0,87.1
27,28,Kyoto University,Japan,2,47.0,34.0,60.0,65.0,86.9
28,29,ETH Zurich,Switzerland,1,48.0,92.0,20.0,40.0,86.8
29,30,Imperial College London,United Kingdom,4,59.0,103.0,51.0,17.0,86.7
30,31,Seoul National University,South Korea,1,317.0,22.0,134.0,60.0,86.5
31,32,Paris-Saclay University,France,2,195.0,138.0,44.0,13.0,86.4
32,33,University of Texas at Austin,USA,21,79.0,65.0,15.0,55.0,86.3
34,35,Institut Polytechnique de Paris,France,3,87.0,6.0,214.0,304.0,86.1
35,36,Dartmouth College,USA,23,54.0,16.0,93.0,263.0,85.9
37,38,University of Copenhagen,Denmark,1,85.0,360.0,41.0,25.0,85.7
39,40,University of North Carolina at Chapel Hill,USA,25,83.0,105.0,75.0,33.0,85.5
41,42,Sorbonne University,France,4,94.0,355.0,89.0,16.0,85.3
42,43,University of Paris,France,5,259.0,914.0,53.0,19.0,85.2
43,44,University of Edinburgh,United Kingdom,5,46.0,365.0,58.0,48.0,85.2
44,45,King's College London,United Kingdom,6,62.0,362.0,28.0,59.0,85.1
45,46,Washington University in St. Louis,USA,27,115.0,186.0,32.0,44.0,85.0
46,47,University of Minnesota - Twin Cities,USA,28,74.0,308.0,120.0,28.0,84.9
47,48,University of British Columbia,Canada,3,99.0,652.0,83.0,30.0,84.8
48,49,Ludwig Maximilian University of Munich,Germany,1,72.0,266.0,66.0,47.0,84.7
49,50,Rutgers University–New Brunswick,USA,29,192.0,106.0,24.0,81.0,84.6
50,51,University of Southern California,USA,30,307.0,124.0,27.0,69.0,84.6
51,52,Vanderbilt University,USA,31,370.0,88.0,59.0,64.0,84.5
53,54,Pennsylvania State University,USA,33,304.0,163.0,56.0,51.0,84.3
54,55,Purdue University,USA,34,80.0,81.0,65.0,104.0,84.3
55,56,"University of California, Davis",USA,35,123.0,577.0,62.0,46.0,84.2
56,57,University of Manchester,United Kingdom,7,103.0,309.0,77.0,49.0,84.1
57,58,Ohio State University,USA,36,125.0,247.0,144.0,34.0,84.0
58,59,Free University of Berlin,Germany,2,93.0,1164.0,37.0,76.0,84.0
59,60,Brown University,USA,37,70.0,56.0,112.0,131.0,83.9
62,63,University of Melbourne,Australia,1,137.0,371.0,128.0,36.0,83.7
63,64,University of Virginia,USA,38,262.0,33.0,184.0,125.0,83.6
64,65,Hebrew University of Jerusalem,Israel,2,31.0,433.0,35.0,167.0,83.6
66,67,University of Zurich,Switzerland,2,98.0,693.0,52.0,72.0,83.5
67,68,Utrecht University,Netherlands,1,150.0,375.0,145.0,39.0,83.4
68,69,University of Colorado Boulder,USA,39,149.0,179.0,47.0,92.0,83.3
69,70,Heidelberg University,Germany,4,132.0,866.0,80.0,58.0,83.3
71,72,University of Pittsburgh,USA,40,250.0,236.0,259.0,32.0,83.2
73,74,Georgia Institute of Technology,USA,42,289.0,166.0,42.0,111.0,83.0
74,75,University of Rochester,USA,43,68.0,74.0,118.0,145.0,83.0
75,76,"University of Maryland, College Park",USA,44,113.0,453.0,130.0,62.0,82.9
76,77,University of Oslo,Norway,1,96.0,673.0,76.0,90.0,82.9
77,78,University of Birmingham,United Kingdom,8,42.0,407.0,163.0,107.0,82.8
78,79,Leiden University,Netherlands,2,104.0,1106.0,72.0,91.0,82.8
80,81,Technical University of Munich,Germany,5,75.0,358.0,132.0,85.0,82.7
81,82,Carnegie Mellon University,USA,46,55.0,155.0,38.0,200.0,82.6
